"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Anderson, Paul","1959-","person","","Orwell, George, 1903-1950 [person] ; Anderson, Paul, 1959- [person]","014583736","Monograph","Language material ; Text","Volume","GBA854163","","9780413776655","Orwell in Tribune : 'As I please' and other writings, 1943-7","","","","England","London","Methuen","2008","","ix, 401 pages, 22 cm","828.91209","m08/.28795","Orwell, George, 1903-1950--Political and social views","","English","Originally published: London: Politico's, 2006",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455373","Monograph","Language material ; Text","Volume","","","9780436203770","A kind of compulsion, 1903-1936","","The complete works of George Orwell","volume 10 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","lvii, 600 pages, illustrations, facsimiles, 24 cm","823.912","98/28230","Orwell, George, 1903-1950","","English","",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455374","Monograph","Language material ; Text","Volume","","","","Facing unpleasant facts, 1937-1939","","The complete works of George Orwell","volume 11 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxx, 483 pages, 24 cm","823.912","98/28231","Orwell, George, 1903-1950","","English","",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455375","Monograph","Language material ; Text","Volume","","","9780436203626 ; 9780436203770","A patriot after all, 1940-1941","","The complete works of George Orwell","volume 12 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxi, 575 pages, 24 cm","823.912","98/28232","Orwell, George, 1903-1950--Miscellanea","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1998. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455376","Monograph","Language material ; Text","Volume","","","9780436203640 ; 9780436203770","All propaganda is lies, 1941-1942","","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxix, 544 pages, 24 cm","823.912","98/28233","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455378","Monograph","Language material ; Text","Volume","","","9780436203664 ; 9780436203770","Keeping our little corner clean, 1941-1942","","The complete works of George Orwell","volume 14 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxvii, 380 pages, 24 cm","","98/28234","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","011610400","Monograph","Language material ; Text","Volume","GBA0Y3774","","9780436205408","A patriot after all, 1940-1941","","","","England","London","Secker & Warburg","2000","","xxxi, 575 pages, 24 cm","828.91209","YC.2005.a.580","Orwell, George, 1903-1950--Correspondence","Correspondence","English","Originally published: 1998",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Orwell, Sonia [person]","002722646","Monograph","Language material ; Text","Volume","","","","The Collected essays, journalism and letters of George Orwell ... Edited by Sonia Orwell and Ian Angus [With portraits.]","","","","England","London","Secker & Warburg","1968","","4 volumes (8°)","","W48/6934 ; W48/6935 ; W48/6936 ; W48/6937 ; W72/3014 ; W72/3015 ; W72/3016 ; W72/3017 ; X.909/15237","","","English","",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","005577303","Monograph","Language material ; Text","Volume","GB7028770","","9780140031515","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","624 pages, 18 cm","082","","","","English","Originally published, London: Secker & Warburg, 1968",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","005577304","Monograph","Language material ; Text","Volume","GB7028771","","9780140031522","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","540 pages, 18 cm","082","","","","English","Originally published, London: Secker & Warburg, 1968",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","005577305","Monograph","Language material ; Text","Volume","GB7028772","","9780140031539","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","492 pages, 18 cm","082","","","","English","Originally published, London: Secker & Warburg, 1968",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","005577306","Monograph","Language material ; Text","Volume","GB7028773","","9780140031546","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","621 pages, 18 cm","082","","","","English","Originally published, London: Secker & Warburg, 1968",""
"Angus, Ian","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","014508764","Monograph","Language material ; Text","Volume","GBA814035","","9781567921335","The collected essays, journalism, and letters of George Orwell","Age like this, 1920-1940","","","United States of America","Boston, Massachusetts ; Hove","David R. Godine ; Roundhouse","2007","","1 volume","828.91209","","","","English","",""
"Angus, Ian","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Angus, Ian, 1926- [person] ; Davison, Peter, 1926- [person]","007378903","Monograph","Language material ; Text","Volume","GBA063747","","9780436205422","A kind of compulsion, 1903-1936","Works. Selections","","","England","London","Secker & Warburg","2000","Revised and updated edition","lvii, 600 pages, 24 cm","828.91209","YC.2001.a.13186","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes mainly letters and articles ; Originally published: 1998",""
"Angus, Ian","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007378902","Monograph","Language material ; Text","Volume","GBA0Y3775","","9780436205385","Facing unpleasant facts, 1937-1939","Prose works. Selections","The complete works of George Orwell","11 [The complete works of George Orwell]","England","London","Secker & Warburg","2000","Revised and updated edition","xxx, 483 pages, illustrations, 24 cm","828.91209","YC.2001.a.6808","Spain--History--Civil War, 1936-1939--Participation, Foreign ; Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence ; Spain--History--Civil War, 1936-1939--Personal narratives, British","Correspondence","English","Includes index ; Previous edition: 1998",""
"Angus, Ian","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379407","Monograph","Language material ; Text","Volume","GBA0V4905","","9780436404054","All propaganda is lies, 1941-1942","Prose works. Selections","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","2001","Revised and updated edition","xxxix, 544 pages, 24 cm","828.91209","YC.2001.a.4723","World War, 1939-1945--Great Britain ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes index ; Previous edition: 1998",""
"Angus, Ian","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379408","Monograph","Language material ; Text","Volume","GBA124768","","9780436404078","Keeping our little corner clean : 1942-1943","","","","England","London","Secker & Warburg","2001","Revised and updated edition","xxxvii, 380 pages, 24 cm","828.91209","YC.2001.a.17887","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Correspondence, broadcasts and other writings ; Previous edition: 1998",""
"Angus, Ian, m.a","","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian, m.a [person]","002722744","Monograph","Language material ; Text","Volume","","","9780140031515","The collected essays, journalism and letters of George Orwell. Edited by Sonia Orwell and Ian Angus","","","","England","Harmondsworth, Middlesex","Penguin ; Secker & Warburg","1970","","4 volumes, 19 cm","","W67/4281 ; W67/4282 ; W67/4283 ; X.908/22254","","","English","",""
"Appréderis, Franck","","person","interviewer ; writer","Semprún, Jorge, author ; interviewee [person] ; Appréderis, Franck, interviewer ; writer [person] ; Semprún, Jorge [person] ; Albiñana, Javier, translator [person]","016716622","Monograph","Language material ; Text","Volume","","","9788483838488","Vivir es resistir : tres conferencias y una conversación","Langage est ma patrie ; Lenguaje es mi patria ; Métier de l'homme ; Oficio de hombre ; Works. Selections. Spanish","Ensayo","93 [Ensayo]","Spain","Barcelona","Tusquets","2014","1st a edición","197 pages, 21 cm","306","YF.2015.a.18073","Intellectual life ; Husserl, Edmund, 1859-1938 ; Resistance (Philosophy) ; Bloch, Marc, 1886-1944 ; Semprún, Jorge--Interviews ; Orwell, George, 1903-1950 ; 1900 - 1999 ; Government, Resistance to, in literature ; Semprún, Jorge--Philosophy ; Orwell, George, 1903-1950--Criticism and interpretation ; Intellectual life--20th century","Criticsm and interpretation ; Interview","Spanish","First work consists of three related studies based on papers presented at the Bibliothèque nationale de France in 2002 ; Second, longer, work consists of a dialogue between the author and Franck Appréderis ; Translated from the French",""
"Armstrong, Jean","","person","","Orwell, George, 1903-1950 [person] ; Armstrong, Jean [person]","010054208","Monograph","Language material ; Text","Volume","GB8508687","","9780333382776","Animal farm by George Orwell","Animal farm","Macmillan master guides","","England","London","Macmillan","1985","","96 pages","823.912","X.950/43582","Fiction in English--Orwell, George--Animal Farm ; Orwell, George, 1903-1950","","English","Includes index",""
"Armstrong, Stephen","1966-","person","","Armstrong, Stephen, 1966- [person]","015817575","Monograph","Language material ; Text","Volume","GBB165898","","9781908238016 ; 9781908238108","The road to Wigan Pier revisited","","","","England","London","Constable","2012","","x, 294 pages, 20 cm","362.5094109051","YC.2012.a.20164","Poverty--Great Britain--History--21st century ; Orwell, George, 1903-1950 ; Great Britain--Social conditions--21st century","","English","Includes index",""
"Armstrong, Stephen","1966-","person","author","Armstrong, Stephen, 1966-, author [person]","016915630","Monograph","Language material ; Text","Online resource","GBB622792","","9781780338798","The road to Wigan Pier revisited","","","","England","London","Constable","2012","","1 online resource","362.5094109051","ELD.DS.7126","Poverty--Great Britain--History--21st century ; Orwell, George, 1903-1950 ; Great Britain--Social conditions--21st century","","English","Includes index",""
"Atkins, John","1916-2009","person","","Atkins, John, 1916-2009 [person]","008084317","Monograph","Language material ; Text","Volume","","","9780714507156","George Orwell : a literary study","","","","England ; United Kingdom","London","Calder & Boyars","1971","Reprinted","394 pages, 21 cm","823.912","X.908/86033","Orwell, George, 1903-1950--Criticism and interpretation--Congresses ; Fiction in English--Orwell, George","","English","First published 1954",""
"Atkins, John","1916-2009","person","","Atkins, John, 1916-2009 [person]","010325241","Monograph","Language material ; Text","Volume","GB7120706","","9780714507156 ; 9780714507163","George Orwell : a literary study","","","","England","London","Calder & Boyars","1971","New edition","5, 394 pages, 21 cm","823.912","74/17845","Fiction in English--Orwell, George--Critical studies ; Orwell, George, 1903-1950","","English","Previous edition 1954",""
"Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","000135405","Monograph","Language material ; Text","Volume","","","","George Orwell. A literary study","","","","England","London","John Calder","1954","","348 pages (8°)","","11870.ee.20","","","","",""
"Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","000135406","Monograph","Language material ; Text","Volume","","","9780714507156","George Orwell: a literary study","","","","England","London","Calder & Boyars","1971","","394 pages, 21 cm","","X.989/11154","","","","",""
"Aubrey, Crispin","","person","","Chilton, Paul [person] ; Aubrey, Crispin [person]","007441985","Monograph","Language material ; Text","Volume","GB8329861","","9780906890424 ; 9780906890431","Nineteen eighty-four in 1984 : autonomy, control and communication","","Comedia series","number 17 [Comedia series]","England","London","Boyars ; Comedia","1983","","120 pages, 3 leaves of plates, illustrations, 2 portraits, 22 cm","823.912","84/00585 ; X.950/32491","Dystopias in literature ; Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984 ; Science fiction, English--History and criticism ; Orwell, George, 1903-1950","","English","",""
"Aubrey, Crispin","","person","","Chilton, Paul [person] ; Aubrey, Crispin [person]","007441986","Monograph","Language material ; Text","Volume","GB8730451","","9780906890424 ; 9780906890431","Nineteen eight-four in 1984 : autonomy, control and communication","","Comedia series","number 17 [Comedia series]","England","London","Comedia","1983","","120 pages, 4 pages of plates, illustrations, portraits, 22 cm","823.912","YC.1987.a.6202","Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984 ; History, Modern--1945- ; Orwell, George, 1903-1950","","English","",""
"Audiberti, Amélie","","person","","Audiberti, Amélie [person] ; Orwell, George, 1903-1950 [person]","002722722","Monograph","Language material ; Text","Volume","","","","1984. Traduit ... par Amélie Audiberti. Roman","","","","","Paris","","1950","","374 pages (8°)","","12655.tt.10","","","","part of the series 'La 'Méridienne.'",""
"Aung San Suu Kyi","","person","","Orwell, George, 1903-1950 [person] ; Inglis, Brian, 1969-, composer [person] ; Aung San Suu Kyi [person]","018373572","Monograph","Notated music","Volume","","","","Burmese pictures : for recorder ensemble","Biruma kara no tegami ; Burmese days","","","England","Chipping Norton","Composers","2016","Edition, 2,2016 ; Score","1 score (8 pages), 30 x 43 cm","785.836195","P.2302. (2.)","Woodwind quintets (Recorders (5))--Scores ; Monologues with music (Woodwind ensemble)--Scores ; Orwell, George, 1903-1950--Musical settings ; Woodwind quartets (Recorders (4))--Scores ; Inglis, Brian, 1969---Manuscripts--Facsimiles ; Aung San Suu Kyi--Musical settings ; Music--Manuscripts--Facsimiles","Chamber music ; Facsimile ; Manuscript ; Music","English","Duration: 7 min, 30 sec ; For 4 or 5 recorder players, playing sopranino, descant, treble, tenor, bass and contrabass recorders. The player of the optional fifth part may also recite the texts, or these may be spoken by a separate performer ; Includes composer's notes and performance notes ; Reproduced from holograph ; Spoken-word texts by George Orwell (from his Burmese days) and Aung San Suu Kyi (from her Letters from Burma)",""
"Avery, Desmond","1945-","person","author","Avery, Desmond, 1945-, author [person]","018570746","Monograph","Language material ; Text","Volume","GBB7K2781","","9781999730703","George Orwell at the BBC in 1942 : finding out how to set free his genius","","","","England","Wellingore","Garth Press","2017","","97 pages, 18 cm","","YKL.2018.a.21697","World War, 1939-1945--Radio broadcasting and the war ; Orwell, George, 1903-1950","","English","",""
"Aṇṇayya Gauḍa, H. H.","","person","","Aṇṇayya Gauḍa, H. H. [person] ; Orwell, George, 1903-1950 [person]","011198234","Monograph","Language material ; Text","Volume","","","","Sāviradombhainūrembhatnālku : Jārj Ārvelravara Nainṭīn Eyṭiphōr granthavannu ādharisi barediddu","Nineteen eighty-four","","","India","Maisūru","Liṭarari Pres","1984","","424 pages","","SAC.1986.a.16353","Kannada fiction--20th century","","Kannada","",""
