"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Enemy of Mankind?': The Soviet Union's Orwell --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'I know how, but I don't know why' : George Orwell's conception of totalitarianism","","016245705","Monograph","Language material ; Text","Volume","","","9780953495900","Flewers, Paul","","person","","Flewers, Paul [person]","","","England","Coventry","New Interventions","1999","","35 pages, 21 cm","","YD.2013.a.145","Totalitarianism ; Orwell, George, 1903-1950--Political and social views","","English","",""
"'I ślepy by spostrzegł' : wybór esejów i felietonów","Essays. Selections. Polish","011890359","Monograph","Language material ; Text","Microfilm","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Allways, H. Lewis [person]","","","Poland","Warszawa","Biblioteka Historyczna i Literacka","1981","","120 pages","","MIC A 9870","Essays in English--1900-1945--Translations","","Polish","Samizdat publication",""
"'If Orwell Were Alive Today,' --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939","Not just Orwell","016313462","Monograph","Language material ; Text","Volume","GBB420683","","9780956337450","Hall, Christopher","1959-","person","author","Hall, Christopher, 1959-, author [person]","","","Scotland","Perth","Tippermuir","2013","Second revised edition","xii, 265 pages, illustrations, portraits, 22 cm","946.081","YC.2015.a.5220","Orwell, George, 1903-1950--Political and social views ; Spain--History--Civil War, 1936-1939--Participation, British","","English","Originally published as: Not just Orwell: Warren & Pell Publishing, 2009",""
"'Knight Errant of Social Justice': Orwell as Don Quixote --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'Media Prophet': Orwell on the Telescreen --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'St. George, ' The Halfway Saint","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'The Faces Behind the Page': Images of Orwell --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"1948 and 1984 : the second Orwell memorial lecture","","012672030","Monograph","Language material ; Text","Volume","GB8529797","","9780902616981","Symons, Julian","1912-1994","person","","Symons, Julian, 1912-1994 [person]","","","Scotland","Edinburgh","Tragara","1984","","32 pages, 22 cm","823.912","Cup.510.afg.60","Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984 ; History, Modern--1945- ; Orwell, George, 1903-1950","","English","Limited edition of 135 copies of which the first 25 have been signed by the author",""
"1984 ... With an afterword by Erich Fromm","","002722715","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Fromm, Erich, 1900-1980 [person] ; Orwell, George, 1903-1950 [person]","Signet Classics","number CP100 [Signet Classics]","United States of America","New York","New American Library","1962","","267 pages (8°)","","X.907/2277","","","","",""
"1984 : krijgen Orwell en Huxley gelijk?","","012075514","Monograph","Language material ; Text","Volume","","","9789020911633","Dekeyser, Miel","","person","","Dekeyser, Miel [person]","","","Belgium","Tielt","Lannoo","1984","","264 pages","","X.950/36138","Huxley, Aldous, 1894-1963 ; Fiction in English--Huxley, Aldous--1894-1963 ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Dutch","",""
"1984 : powieść","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","007315042","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1983","Wydanie 3","303 pages","","X.950/31144","Fiction in English--1900-1945--Translations","","Polish","",""
"1984 : powieść","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","011890352","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1979","Wydanie 3","303 pages","","X.958/22406","","","Polish","Miniature edition for distribution in Poland",""
